id;employee_id;in_time;out_time;note
1;41782;2024-11-20;2024-11-20;cross-platform
2;66533;2024-11-20;2024-11-21;disintermediate directional
3;64289;2024-11-21;2024-11-21;Lan
4;22388;2024-11-21;2024-11-20;area Assurance Fish
5;99181;2024-11-21;2024-11-20;Games
6;43832;2024-11-21;2024-11-20;array conglomeration
7;325;2024-11-20;2024-11-20;Facilitator Union Manor
8;92848;2024-11-21;2024-11-21;paradigms
9;81343;2024-11-21;2024-11-20;orchid Cambridgeshire Afghanistan
10;53610;2024-11-20;2024-11-21;invoice Delaware
